time,turbine_num,wind_speed,kw,wind_speed_sd,wind_speed_max,torque_actual_value,blade_1_actual_angle,blade_2_actual_angle,blade_3_actual_angle,blade_1_2_act_angle_diff,blade_2_3_act_angle_diff,blade_3_1_act_angle_diff,ot,sot,dt,lot,wot,est,mt,rt,eect
11/1/2015 6:50,22,0.15497076,0.037507394,0.08004386,0.113077496,0.069019,0.457390671,0.457771363,0.034738403,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 7:00,22,0.158869396,0.039055704,0.077850877,0.100037258,0.071248546,0.457451325,0.457821132,0.034844313,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 7:10,22,0.162118259,0.0407919,0.067982456,0.110655738,0.073962776,0.456602171,0.457124372,0.033361576,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 7:20,22,0.149447693,0.022904561,0.067982456,0.101154993,0.046335789,0.457875902,0.458169512,0.035585681,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 7:30,22,0.16991553,0.045422915,0.075657895,0.109165425,0.081039162,0.456359556,0.456925297,0.032937937,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 7:40,22,0.141975309,0.018057827,0.084429825,0.101527571,0.03964715,0.460908595,0.460657941,0.040881169,0,0,0,428,600,0,0,0,0,0,0,0
11/1/2015 7:50,22,0.137751787,0.010399777,0.08004386,0.111400894,0.029177976,0.476739249,0.473647539,0.068523618,0,0,0,186,600,0,0,0,0,0,0,0
11/1/2015 8:00,22,0.134502924,0.004366584,0.075657895,0.109724292,0.018805739,0.467034633,0.465684567,0.051578055,0,0,0,327,600,0,0,0,0,0,0,0
11/1/2015 8:10,22,0.127680312,0.004665808,0.063596491,0.102831595,0.020841411,0.479771942,0.476135968,0.073819106,0,0,0,0,600,0,0,0,0,0,0,0
11/1/2015 8:20,22,0.126705653,0.004874569,0.077850877,0.092958271,0.020841411,0.624188755,0.594634947,0.325990256,0,0,0,0,600,0,0,0,0,0,0,0
11/1/2015 8:30,22,0.153346329,0.01836401,0.07127193,0.110655738,0.041295076,0.494632134,0.488329269,0.099766999,0,0,0,347,600,0,0,0,0,0,0,0
11/1/2015 8:40,22,0.146523717,0.018541456,0.069078947,0.105625931,0.039550213,0.458300479,0.458517892,0.036327049,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 8:50,22,0.147173489,0.018103058,0.064692982,0.105812221,0.038871656,0.458421787,0.458617429,0.036538869,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 9:00,22,0.134178038,0.00717442,0.067982456,0.092026826,0.022780147,0.462242979,0.461752849,0.043211184,0,0,0,434,600,0,0,0,0,0,0,0
11/1/2015 9:10,22,0.122482131,0.006067987,0.072368421,0.092213115,0.023167895,0.474434403,0.471756333,0.064499047,0,0,0,18,600,0,0,0,0,0,0,0
11/1/2015 9:20,22,0.149122807,0.024191921,0.077850877,0.112146051,0.048371462,0.457936556,0.45821928,0.035691591,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 9:30,22,0.118583496,0.005215546,0.069078947,0.083830104,0.021229159,0.469096864,0.467376698,0.055178988,0,0,0,90,600,0,0,0,0,0,0,0
11/1/2015 9:40,22,0.146848603,0.02119968,0.075657895,0.109165425,0.044590927,0.464547826,0.463644055,0.047235755,0,0,0,462,600,0,0,0,0,0,0,0
11/1/2015 9:50,22,0.155620533,0.029275251,0.075657895,0.11009687,0.056320279,0.457451325,0.457821132,0.034844313,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 10:00,22,0.162768031,0.042461988,0.069078947,0.103949329,0.07658007,0.456966094,0.457422983,0.034102944,0,8.75E-05,8.94E-05,600,600,0,0,0,0,0,0,0
11/1/2015 10:10,22,0.155620533,0.031053199,0.074561404,0.117734724,0.058840636,0.457875902,0.458169512,0.035585681,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 10:20,22,0.174788824,0.057130928,0.075657895,0.119225037,0.09926328,0.454418633,0.455332703,0.029548824,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 10:30,22,0.176088369,0.057475384,0.082236842,0.131892697,0.099747964,0.453751441,0.454785249,0.028383817,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 10:40,22,0.170890188,0.055655684,0.087719298,0.124254844,0.096936797,0.454357979,0.455282934,0.029442915,0,0,0,600,600,0,0,0,0,0,0,0
11/1/2015 10:50,22,0.155620533,0.028234926,0.07127193,0.117548435,0.05447848,0.457754595,0.458069975,0.035373861,0,0,0,600,600,0,0,0,0,0,0,0
